--------- beginning of system 
12-27 11:28:13.218   982   982 I Leopard : ** build version : [20221118104802] ** 
12-27 11:28:13.224   982   982 I Leopard : get_cmdline_value(): lge.bootmode= doesn't exist in [/proc/cmdline] 
12-27 11:28:13.224   982   982 I Leopard : get_cmdline_value(): find [lge.bootmode=] in [/tmp/bootmode_cmd] 
12-27 12:16:07.307   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 08 08 53 00 01 00 01 00 01 00 01 00 01 00 01]
12-27 12:16:07.759  1542 23896 I DiagManagerService: onWatchDog Kick
12-27 12:16:08.002  1539 23925 V DebugManagerServiceImpl: DEBUG_IMPL_KICK_DOG
12-27 12:16:08.162   993  1700 V CRH     : RX_TIME_TO_KICK_DOG
12-27 12:16:08.163   993  1701 V CTH     : TXhandleMessage TX_TIME_TO_KICK_DOG
12-27 12:16:08.163   993  1506 V CANManagerService: perform HeartBeat()
12-27 12:16:08.171  1647  1699 E NetworkManagerService: rmnet_data0 | inbps=0 inpps=0 outbps=0 outpps=0
12-27 12:16:08.171  1647  1699 E NetworkManagerService: rmnet_data1 | inbps=0 inpps=0 outbps=0 outpps=0
12-27 12:16:10.309   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 19 00 08 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:16:10.511   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1D]
12-27 12:16:11.848   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:16:11.849   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:16:11.849   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:16:11.849   977  1668 E SPIClient_can: CB_2
12-27 12:16:12.209   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[04, 00] Cmd[D1, 00] PayloadLen[0006] Payload[16 0C 1B 0C 10 0D]
12-27 12:16:12.210  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x4], subcate[x0], cmd[209], cmd2[x0]
12-27 12:16:12.210  1550  1698 V FactoryUtil: onReceive MCU param[x02][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x10][x0D]...
12-27 12:16:12.210  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x04][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x10][x0D]...
12-27 12:16:12.210  1550  1689 V FactoryEdu: procEduResCommand cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:16:12.210  1550  1689 V FactoryUtil: Res Buffer  bufSize[6]
12-27 12:16:12.210  1550  1689 V FactoryUtil: [x16][x0C][x1B][x0C][x10][x0D]
12-27 12:16:12.210  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:16:13.178   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, 22] Cmd[02, 00] PayloadLen[000A] Payload[D9 9E 00 00 00 21 00 00 00 1B]
12-27 12:16:13.312   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 19 00 09 08 55 00 00 00 01 00 01 00 01 00 01 00 02]
12-27 12:16:15.448   991  1523 E CM_SPI  : MSM->MCU Type[01] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:16:15.456   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:16:15.456  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x1], subcate[x0], cmd[17], cmd2[x0]
12-27 12:16:15.456  1550  1698 V FactoryUtil: onReceive MCU param[x02][x11][x00], buf is NULL
12-27 12:16:15.456  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x01][x11][x00], buf is NULL
12-27 12:16:15.456  1550  1689 V FactoryEdu: procEduResCommand cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:16:15.456  1550  1689 V FactoryUtil: Res Buffer  buf is NULL
12-27 12:16:15.456  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:16:15.561   987  1482 I LocationServer: droutput:lat:0.000000,lon:0.000000,alt:0.000000
12-27 12:16:15.981   991  1508 E CommunicationManagerService: KICK DOG(289)
12-27 12:16:16.309   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 1A 00 08 08 55 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:16:16.380  1542  1680 I DiagReadDTCHandler: checkFaultSettingCondition[false] PM[0] Vol[12.050000] bubTemp [29]
12-27 12:16:16.856   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:16:16.856   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:16:16.856   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:16:16.856   977  1668 E SPIClient_can: CB_2
12-27 12:16:17.103   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1D]
12-27 12:16:17.759  1542 25069 I DiagManagerService: onWatchDog Kick
12-27 12:16:18.002  1539 25098 V DebugManagerServiceImpl: DEBUG_IMPL_KICK_DOG
12-27 12:16:18.161   993  1700 V CRH     : RX_TIME_TO_KICK_DOG
12-27 12:16:18.163   993  1701 V CTH     : TXhandleMessage TX_TIME_TO_KICK_DOG
12-27 12:16:18.163   993  1506 V CANManagerService: perform HeartBeat()
12-27 12:16:19.307   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 08 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:16:21.866   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:16:21.866   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:16:21.867   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:16:21.867   977  1668 E SPIClient_can: CB_2
12-27 12:16:22.316   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 17 00 09 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:16:22.806   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[04, 00] Cmd[D1, 00] PayloadLen[0006] Payload[16 0C 1B 0C 10 18]
12-27 12:16:22.807  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x4], subcate[x0], cmd[209], cmd2[x0]
12-27 12:16:22.807  1550  1698 V FactoryUtil: onReceive MCU param[x02][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x10][x18]...
12-27 12:16:22.807  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x04][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x10][x18]...
12-27 12:16:22.807  1550  1689 V FactoryEdu: procEduResCommand cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:16:22.807  1550  1689 V FactoryUtil: Res Buffer  bufSize[6]
12-27 12:16:22.807  1550  1689 V FactoryUtil: [x16][x0C][x1B][x0C][x10][x18]
12-27 12:16:22.807  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:16:23.180   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, 22] Cmd[02, 00] PayloadLen[000A] Payload[D9 9E 00 00 00 2B 00 00 00 11]
12-27 12:16:23.704   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1D]
12-27 12:16:25.307   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 19 00 08 08 53 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:16:25.451   991  1523 E CM_SPI  : MSM->MCU Type[01] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:16:25.457   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:16:25.457  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x1], subcate[x0], cmd[17], cmd2[x0]
12-27 12:16:25.457  1550  1698 V FactoryUtil: onReceive MCU param[x02][x11][x00], buf is NULL
12-27 12:16:25.457  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x01][x11][x00], buf is NULL
12-27 12:16:25.457  1550  1689 V FactoryEdu: procEduResCommand cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:16:25.457  1550  1689 V FactoryUtil: Res Buffer  buf is NULL
12-27 12:16:25.457  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:16:25.561   987  1482 I LocationServer: droutput:lat:0.000000,lon:0.000000,alt:0.000000
12-27 12:16:25.981   991  1508 E CommunicationManagerService: KICK DOG(290)
12-27 12:16:26.381  1542  1680 I DiagReadDTCHandler: checkFaultSettingCondition[false] PM[0] Vol[12.050000] bubTemp [29]
12-27 12:16:26.876   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:16:26.876   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:16:26.876   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:16:26.876   977  1668 E SPIClient_can: CB_2
12-27 12:16:27.763  1542 26244 I DiagManagerService: onWatchDog Kick
12-27 12:16:28.001  1539 26271 V DebugManagerServiceImpl: DEBUG_IMPL_KICK_DOG
12-27 12:16:28.161   993  1700 V CRH     : RX_TIME_TO_KICK_DOG
12-27 12:16:28.163   993  1506 V CANManagerService: perform HeartBeat()
12-27 12:16:28.163   993  1701 V CTH     : TXhandleMessage TX_TIME_TO_KICK_DOG
12-27 12:16:28.312   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 19 00 08 08 54 00 01 00 01 00 01 00 01 00 01 00 01]
12-27 12:16:30.303   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1D]
12-27 12:16:31.311   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 08 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:16:31.889   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:16:31.889   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:16:31.889   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:16:31.889   977  1668 E SPIClient_can: CB_2
12-27 12:16:33.181   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, 22] Cmd[02, 00] PayloadLen[000A] Payload[D9 9E 00 00 00 35 00 00 00 07]
12-27 12:16:33.409   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[04, 00] Cmd[D1, 00] PayloadLen[0006] Payload[16 0C 1B 0C 10 23]
12-27 12:16:33.409  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x4], subcate[x0], cmd[209], cmd2[x0]
12-27 12:16:33.409  1550  1698 V FactoryUtil: onReceive MCU param[x02][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x10][x23]...
12-27 12:16:33.409  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x04][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x10][x23]...
12-27 12:16:33.409  1550  1689 V FactoryEdu: procEduResCommand cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:16:33.409  1550  1689 V FactoryUtil: Res Buffer  bufSize[6]
12-27 12:16:33.409  1550  1689 V FactoryUtil: [x16][x0C][x1B][x0C][x10][x23]
12-27 12:16:33.409  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:16:34.309   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 19 00 07 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:16:35.452   991  1523 E CM_SPI  : MSM->MCU Type[01] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:16:35.461   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:16:35.461  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x1], subcate[x0], cmd[17], cmd2[x0]
12-27 12:16:35.462  1550  1698 V FactoryUtil: onReceive MCU param[x02][x11][x00], buf is NULL
12-27 12:16:35.462  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x01][x11][x00], buf is NULL
12-27 12:16:35.462  1550  1689 V FactoryEdu: procEduResCommand cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:16:35.462  1550  1689 V FactoryUtil: Res Buffer  buf is NULL
12-27 12:16:35.462  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:16:35.561   987  1482 I LocationServer: droutput:lat:0.000000,lon:0.000000,alt:0.000000
12-27 12:16:35.981   991  1508 E CommunicationManagerService: KICK DOG(291)
12-27 12:16:36.386  1542  1680 I DiagReadDTCHandler: checkFaultSettingCondition[false] PM[0] Vol[12.030000] bubTemp [29]
12-27 12:16:36.896   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:16:36.897   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:16:36.897   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:16:36.897   977  1668 E SPIClient_can: CB_2
12-27 12:16:36.904   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1D]
12-27 12:16:37.307   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 19 00 08 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:16:37.759  1542 27445 I DiagManagerService: onWatchDog Kick
12-27 12:16:38.002  1539 27474 V DebugManagerServiceImpl: DEBUG_IMPL_KICK_DOG
12-27 12:16:38.162   993  1700 V CRH     : RX_TIME_TO_KICK_DOG
12-27 12:16:38.163   993  1701 V CTH     : TXhandleMessage TX_TIME_TO_KICK_DOG
12-27 12:16:38.163   993  1506 V CANManagerService: perform HeartBeat()
12-27 12:16:40.313   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 1A 00 08 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:16:41.906   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:16:41.906   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:16:41.906   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:16:41.906   977  1668 E SPIClient_can: CB_2
12-27 12:16:42.707   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[35, 00] Cmd[02, 00] PayloadLen[0021] Payload[42 55 42 20 44 54 43 33 3A 20 4F 50 45 4E 3A 31 20 53 79 73 48 57 3D 45 30 20 43 3A 32 39 20 31 0A]
12-27 12:16:42.708  1529  1558 E MCU     : BUB DTC3: OPEN:1 SysHW=E0 C:29 1
12-27 12:16:43.178   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, 22] Cmd[02, 00] PayloadLen[000A] Payload[D9 9E 00 00 00 00 00 00 00 00]
12-27 12:16:43.307   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 01 08 53 00 01 00 01 00 01 00 01 00 01 00 01]
12-27 12:16:43.503   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1D]
12-27 12:16:44.006   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[04, 00] Cmd[D1, 00] PayloadLen[0006] Payload[16 0C 1B 0C 10 2D]
12-27 12:16:44.006  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x4], subcate[x0], cmd[209], cmd2[x0]
12-27 12:16:44.006  1550  1698 V FactoryUtil: onReceive MCU param[x02][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x10][x2D]...
12-27 12:16:44.006  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x04][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x10][x2D]...
12-27 12:16:44.006  1550  1689 V FactoryEdu: procEduResCommand cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:16:44.006  1550  1689 V FactoryUtil: Res Buffer  bufSize[6]
12-27 12:16:44.006  1550  1689 V FactoryUtil: [x16][x0C][x1B][x0C][x10][x2D]
12-27 12:16:44.006  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:16:45.453   991  1523 E CM_SPI  : MSM->MCU Type[01] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:16:45.462   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:16:45.463  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x1], subcate[x0], cmd[17], cmd2[x0]
12-27 12:16:45.463  1550  1698 V FactoryUtil: onReceive MCU param[x02][x11][x00], buf is NULL
12-27 12:16:45.463  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x01][x11][x00], buf is NULL
12-27 12:16:45.463  1550  1689 V FactoryEdu: procEduResCommand cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:16:45.463  1550  1689 V FactoryUtil: Res Buffer  buf is NULL
12-27 12:16:45.463  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:16:45.561   987  1482 I LocationServer: droutput:lat:0.000000,lon:0.000000,alt:0.000000
12-27 12:16:45.981   991  1508 E CommunicationManagerService: KICK DOG(292)
12-27 12:16:46.311   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 19 00 04 08 53 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:16:46.388  1542  1680 I DiagReadDTCHandler: checkFaultSettingCondition[false] PM[0] Vol[12.050000] bubTemp [29]
12-27 12:16:46.916   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:16:46.916   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:16:46.916   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:16:46.916   977  1668 E SPIClient_can: CB_2
12-27 12:16:47.760  1542 28618 I DiagManagerService: onWatchDog Kick
12-27 12:16:48.002  1539 28647 V DebugManagerServiceImpl: DEBUG_IMPL_KICK_DOG
12-27 12:16:48.161   993  1700 V CRH     : RX_TIME_TO_KICK_DOG
12-27 12:16:48.162   993  1701 V CTH     : TXhandleMessage TX_TIME_TO_KICK_DOG
12-27 12:16:48.162   993  1506 V CANManagerService: perform HeartBeat()
12-27 12:16:49.307   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 07 08 53 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:16:50.103   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1D]
12-27 12:16:51.926   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:16:51.926   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:16:51.926   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:16:51.927   977  1668 E SPIClient_can: CB_2
12-27 12:16:52.311   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 09 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:16:53.178   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, 22] Cmd[02, 00] PayloadLen[000A] Payload[D9 9E 00 00 00 09 00 00 00 33]
12-27 12:16:53.178  1542  1867 E DIAG    : onNotifyVoltage BUB Vol[0.000000]
12-27 12:16:54.607   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[04, 00] Cmd[D1, 00] PayloadLen[0006] Payload[16 0C 1B 0C 10 38]
12-27 12:16:54.608  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x4], subcate[x0], cmd[209], cmd2[x0]
12-27 12:16:54.608  1550  1698 V FactoryUtil: onReceive MCU param[x02][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x10][x38]...
12-27 12:16:54.609  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x04][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x10][x38]...
12-27 12:16:54.609  1550  1689 V FactoryEdu: procEduResCommand cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:16:54.609  1550  1689 V FactoryUtil: Res Buffer  bufSize[6]
12-27 12:16:54.609  1550  1689 V FactoryUtil: [x16][x0C][x1B][x0C][x10][x38]
12-27 12:16:54.609  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:16:55.307   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 19 00 09 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:16:55.454   991  1523 E CM_SPI  : MSM->MCU Type[01] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:16:55.466   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:16:55.467  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x1], subcate[x0], cmd[17], cmd2[x0]
12-27 12:16:55.467  1550  1698 V FactoryUtil: onReceive MCU param[x02][x11][x00], buf is NULL
12-27 12:16:55.467  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x01][x11][x00], buf is NULL
12-27 12:16:55.467  1550  1689 V FactoryEdu: procEduResCommand cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:16:55.467  1550  1689 V FactoryUtil: Res Buffer  buf is NULL
12-27 12:16:55.467  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x01], subCate[x00], cmd[x11], cmd2[x00]
12-27 12:16:55.562   987  1482 I LocationServer: droutput:lat:0.000000,lon:0.000000,alt:0.000000
12-27 12:16:55.981   991  1508 E CommunicationManagerService: KICK DOG(293)
12-27 12:16:56.389  1542  1680 I DiagReadDTCHandler: checkFaultSettingCondition[false] PM[0] Vol[12.040000] bubTemp [29]
12-27 12:16:56.709   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1D]
12-27 12:16:56.936   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:16:56.936   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:16:56.936   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:16:56.936   977  1668 E SPIClient_can: CB_2
12-27 12:16:57.759  1542 29791 I DiagManagerService: onWatchDog Kick
12-27 12:16:58.002  1539 29819 V DebugManagerServiceImpl: DEBUG_IMPL_KICK_DOG
12-27 12:16:58.163   993  1700 V CRH     : RX_TIME_TO_KICK_DOG
12-27 12:16:58.163   993  1701 V CTH     : TXhandleMessage TX_TIME_TO_KICK_DOG
12-27 12:16:58.163   993  1506 V CANManagerService: perform HeartBeat()
12-27 12:16:58.309   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 09 08 54 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:17:01.307   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 18 00 09 08 55 00 00 00 01 00 01 00 01 00 01 00 01]
12-27 12:17:01.946   977  1572 E SPIClient_can: CL-ISPI_CSPB_OSC
12-27 12:17:01.946   977  1572 E SPIClient_can: RCV CB Single(0), Group(0)
12-27 12:17:01.946   977  1668 E SPIClient_can: MSG_CAN_BUS_STATE
12-27 12:17:01.947   977  1668 E SPIClient_can: CB_2
12-27 12:17:03.182   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, 22] Cmd[02, 00] PayloadLen[000A] Payload[D9 9E 00 00 00 13 00 00 00 29]
12-27 12:17:03.303   991  1523 E CM_SPI  : MCU->MSM Type[01] Cat[05, DD] Cmd[05, 00] PayloadLen[0006] Payload[00 FE 00 00 00 1D]
12-27 12:17:04.309   991  1523 E CM_SPI  : MCU->MSM Type[03] Cat[01, 00] Cmd[D0, 00] PayloadLen[0012] Payload[0D 17 00 0A 08 53 00 00 00 01 00 01 00 01 00 01 00 02]
12-27 12:17:05.208   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[04, 00] Cmd[D1, 00] PayloadLen[0006] Payload[16 0C 1B 0C 11 06]
12-27 12:17:05.209  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x4], subcate[x0], cmd[209], cmd2[x0]
12-27 12:17:05.209  1550  1698 V FactoryUtil: onReceive MCU param[x02][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x11][x06]...
12-27 12:17:05.209  1550  1689 V FactoryUtil: handleMessage FACTORY_IMPL_RES_FR_MCU_EDU param[x04][xD1][x00], bufSize[6:6]:[x16][x0C][x1B][x0C][x11][x06]...
12-27 12:17:05.209  1550  1689 V FactoryEdu: procEduResCommand cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:17:05.209  1550  1689 V FactoryUtil: Res Buffer  bufSize[6]
12-27 12:17:05.209  1550  1689 V FactoryUtil: [x16][x0C][x1B][x0C][x11][x06]
12-27 12:17:05.209  1550  1689 V FactoryEdu: procEduResCommand cmd not define cate[x04], subCate[x00], cmd[xD1], cmd2[x00]
12-27 12:17:05.456   991  1523 E CM_SPI  : MSM->MCU Type[01] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:17:05.463   991  1523 E CM_SPI  : MCU->MSM Type[02] Cat[01, 00] Cmd[11, 00] PayloadLen[0000]
12-27 12:17:05.463  1550  1698 V FactoryImpl: onReceive MCU type[x2], cate[x1], subcate[x0], cmd[17], cmd2[x0]
